file,energy,onsetRate,rms,dynamicComplexity,spectralCentroid,hfc
"01 7A - 1 - Path of Devotion.mp3",1,0.8667,0.209437,0.0000,0.0000,0.0000
"01 1A - 2 - jerusalem.mp3",2,4.3667,0.065438,0.0000,0.0000,0.0000
"01 2A - 2 - To Speak Of Solitude.mp3",2,1.0333,0.155127,0.0000,0.0000,0.0000
"04 7A - 2 - Distant Light (Original Mix).mp3",2,0.2333,0.219891,0.0000,0.0000,0.0000
"05 10B - 2 - Unforgiven (Original Mix).mp3",2,0.3667,0.061975,0.0000,0.0000,0.0000
"1-10 5A - 2 - Code.mp3",2,0.5333,0.069034,0.0000,0.0000,0.0000
"01 5A - 2 - Sweet Dreams (A cappella).mp3",2,1.6333,0.078702,0.0000,0.0000,0.0000
"01 4A - 2 - Cahaya Bulan (Original Mix).mp3",2,0.1333,0.224400,0.0000,0.0000,0.0000
"01 9A - 2 - Intro.mp3",2,4.2667,0.294017,0.0000,0.0000,0.0000
"01 7A - 2 - Epipelagic (Original Mix).mp3",2,1.8667,0.259627,0.0000,0.0000,0.0000
"04 2A - 2 - Philosophy Of Dance (Accappella).mp3",2,2.4333,0.113082,0.0000,0.0000,0.0000
"04 8A - 2 - Laertes Theme (Original Mix).mp3",2,0.4667,0.173033,0.0000,0.0000,0.0000
"01 7A - 2 - Alfa.mp3",2,5.1333,0.091054,0.0000,0.0000,0.0000
"6A - 2 - Lamplight Rains (Original Vers.mp3",2,3.2000,0.134815,0.0000,0.0000,0.0000
"04 5A - 2 - Venusianische Holle (Original Mix).mp3",2,2.0667,0.277766,0.0000,0.0000,0.0000
"09 9A - 2 - Hammock Therapy.mp3",2,2.1333,0.063125,0.0000,0.0000,0.0000
"10 5A - 2 - Planetary Nebula (Original Mix.mp3",2,3.0000,0.214497,0.0000,0.0000,0.0000
"4A - 2 - VerityAcid (Original Mix).mp3",2,1.5333,0.141550,0.0000,0.0000,0.0000
"11 7A - 2 - Om Mantra (Instrumental).mp3",2,0.5667,0.192611,0.0000,0.0000,0.0000
"02 8A - 3 - Ether (feat. Natalia Maczek) (Original Mix).mp3",3,2.9000,0.199269,0.0000,0.0000,0.0000
"1-02 2B - 3 - Nutshell (Album Version).mp3",3,3.3667,0.248308,0.0000,0.0000,0.0000
"02 11A - 3 - We Can Dance Again (Acapella).mp3",3,4.7000,0.222509,0.0000,0.0000,0.0000
"07 3A - 3 - Do You Remember House_ (feat. Palmer Brown) (Accapella).mp3",3,3.9333,0.091164,0.0000,0.0000,0.0000
"2-11 4A - 3 - All of Me.mp3",3,3.8667,0.249979,0.0000,0.0000,0.0000
"35 3B - 3 - No Woman, No Cry (Live).mp3",3,3.7667,0.200547,0.0000,0.0000,0.0000
"03 9A - 3 - To The Underground (Acapella).mp3",3,4.0253,0.103460,0.0000,0.0000,0.0000
"13 9A - 3 - Bitch Niggaz Ft Snoop Dogg, Hittman, Six-Two.mp3",3,5.2000,0.325095,0.0000,0.0000,0.0000
"04 12A - 3 - Red Cosmic Earth.mp3",3,6.8000,0.316867,0.0000,0.0000,0.0000
"06 3A - 3 - Cafe Del Mar (Michael Woods Remix).mp3",3,2.5000,0.085266,0.0000,0.0000,0.0000
"04 8A - 3 - Out of Void (Original Mix).mp3",3,0.6333,0.103906,0.0000,0.0000,0.0000
"03 2B - 3 - More Than Words.mp3",3,2.7333,0.087122,0.0000,0.0000,0.0000
"1-05 12A - 3 - Lush.mp3",3,5.0667,0.363831,0.0000,0.0000,0.0000
"14 4A - 3 - The Power of Love.mp3",3,2.2333,0.095365,0.0000,0.0000,0.0000
"03 3A - 3 - Ready or Not.mp3",3,5.0000,0.090162,0.0000,0.0000,0.0000
"01 3A - 3 - Love Is (feat. Kameelah Waheed).mp3",3,4.1667,0.170992,0.0000,0.0000,0.0000
"01 7A - 3 - Magic Workout.mp3",3,6.1000,0.240106,0.0000,0.0000,0.0000
"02 7A - 3 - Writings.mp3",3,4.5000,0.252555,0.0000,0.0000,0.0000
"1-01 5A - 3 - Pitch Black City Reunion.mp3",3,5.5667,0.231433,0.0000,0.0000,0.0000
"01 1A - 3 - Naturaleza (Mose Edit).mp3",3,4.6333,0.378396,0.0000,0.0000,0.0000
"12 6A - 3 - how to luv.mp3",3,5.2000,0.373716,0.0000,0.0000,0.0000
"7A - 3 - Qawwali (Original Mix).mp3",3,6.2000,0.272263,0.0000,0.0000,0.0000
"01 1A - 3 - Réveiller (Feat. MANON).mp3",3,2.9333,0.273166,0.0000,0.0000,0.0000
"01 2A - 3 - Immersion.mp3",3,0.0667,0.192009,0.0000,0.0000,0.0000
"06 3A - 3 - Elapse.mp3",3,0.0667,0.181051,0.0000,0.0000,0.0000
"14 5B - 3 - Bad Days.mp3",3,3.9000,0.273418,0.0000,0.0000,0.0000
"09 7A - 3 - Need To Feel Loved (Acappella).mp3",3,2.3333,0.212552,0.0000,0.0000,0.0000
"03 10A - 3 - Regulate (Acapella).mp3",3,4.6667,0.084361,0.0000,0.0000,0.0000
"14 7A - 3 - אור (גרסה שקטה.mp3",3,3.4333,0.203009,0.0000,0.0000,0.0000
"07 3B - 3 - ניצחת איתי הכל.mp3",3,3.8667,0.186747,0.0000,0.0000,0.0000
"2-06 6A - 4 - Do For Love.mp3",4,5.3333,0.302484,0.0000,0.0000,0.0000
"1-06 9A - 4 - Back In Black.mp3",4,2.8333,0.243488,0.0000,0.0000,0.0000
"36 7A - 4 - Bad Habit (feat. Lisa Millett) (Acapella).mp3",4,4.0333,0.157619,0.0000,0.0000,0.0000
"02 10A - 4 - shake shake shake (Original Mix).mp3",4,3.5667,0.159592,0.0000,0.0000,0.0000
"01 5A - 4 - River Red Gum.mp3",4,8.1667,0.324249,0.0000,0.0000,0.0000
"01 5A - 4 - Pasilda (Acapella).mp3",4,2.5000,0.077889,0.0000,0.0000,0.0000
"02 3A - 4 - Cameroun Central.mp3",4,4.1000,0.214904,0.0000,0.0000,0.0000
"02 12A - 4 - A Matter of Time (Frank Wiedemann Remix).mp3",4,3.4333,0.302986,0.0000,0.0000,0.0000
"04 12A - 4 - Inside (Original Mix).mp3",4,8.5000,0.340418,0.0000,0.0000,0.0000
"03 10A - 4 - Autochtone (Original Mix).mp3",4,6.7000,0.378139,0.0000,0.0000,0.0000
"06 5A - 4 - Genesis (Version).mp3",4,5.8333,0.419221,0.0000,0.0000,0.0000
"06 8A - 4 - Strategy.mp3",4,4.6667,0.138631,0.0000,0.0000,0.0000
"10A - 4 - Ikik Pt 1.mp3",4,3.6000,0.242782,0.0000,0.0000,0.0000
"06 5A - 4 - Silent Quest (Hydrangea remix).mp3",4,7.8000,0.260939,0.0000,0.0000,0.0000
"03 4A - 4 - Tomb (Original Mix).mp3",4,5.2667,0.245604,0.0000,0.0000,0.0000
"07 2A - 4 - UKNOWHOWWEDU.mp3",4,4.4000,0.243621,0.0000,0.0000,0.0000
"2-01 11A - 4 - Everybody's Free (to Wear Sunscreen).mp3",4,4.7667,0.143412,0.0000,0.0000,0.0000
"04 6A - 4 - Attis (Original Mix).mp3",4,4.9667,0.286158,0.0000,0.0000,0.0000
"03 3A - 4 - Yonder.mp3",4,7.4667,0.197777,0.0000,0.0000,0.0000
"01 8B - 4 - Shadows From Nowhere (Original Version).mp3",4,4.3333,0.081323,0.0000,0.0000,0.0000
"04 8A - 4 - ndanele.mp3",4,4.2333,0.316169,0.0000,0.0000,0.0000
"01 7A - 4 - Khidi Raver (Original Mix).mp3",4,5.0000,0.111439,0.0000,0.0000,0.0000
"07 7A - 4 - Ups & Downs (Glitch Edit 2023).mp3",4,3.4333,0.247401,0.0000,0.0000,0.0000
"05 9A - 4 - Inescapable (Original Mix).mp3",4,4.3333,0.255064,0.0000,0.0000,0.0000
"06 8A - 4 - Path of Least Resistance (Original Mix).mp3",4,0.1000,0.270493,0.0000,0.0000,0.0000
"02 10A - 4 - Cometa.mp3",4,4.6000,0.249746,0.0000,0.0000,0.0000
"8A - 4 - Teach Me, Keep Me (Original Mix).mp3",4,6.1333,0.383686,0.0000,0.0000,0.0000
"04 8B - 4 - Sorry, Blame It On Me - main.mp3",4,4.0667,0.297827,0.0000,0.0000,0.0000
"05 8A - 4 - Frontin'.mp3",4,4.2333,0.230433,0.0000,0.0000,0.0000
"01 5A - 4 - Sleep.mp3",4,6.2000,0.322703,0.0000,0.0000,0.0000
"06 7A - 4 - Sunshine Of Your Love.mp3",4,3.0667,0.238905,0.0000,0.0000,0.0000
"07 12A - 4 - Rebirth of Cool (Original Mix).mp3",4,5.2000,0.292336,0.0000,0.0000,0.0000
"05 2A - 4 - Revolution 909 (Revolution A Cappella).mp3",4,2.0333,0.026148,0.0000,0.0000,0.0000
"03 8A - 4 - Giorgio by Moroder (Drumless Edition).mp3",4,6.3667,0.197720,0.0000,0.0000,0.0000
"1-04 7A - 4 - Something About Us.mp3",4,3.7333,0.147664,0.0000,0.0000,0.0000
"03 8A - 4 - Mantra (Elfenberg Remix).mp3",4,5.7667,0.191023,0.0000,0.0000,0.0000
"20 8A - 4 - Cravin (feat. G-Eazy).mp3",4,5.1667,0.405496,0.0000,0.0000,0.0000
"10 4A - 4 - Fame (2016 Remaster).mp3",4,3.5000,0.118087,0.0000,0.0000,0.0000
"01 8A - 4 - Highway Star (2012 Remaster).mp3",4,3.4000,0.273312,0.0000,0.0000,0.0000
"1-05 6A - 4 - Smoke on the Water (2012 Remaster).mp3",4,3.8000,0.223684,0.0000,0.0000,0.0000
"01 8A - 4 - Process (Original Mix).mp3",4,5.2000,0.291751,0.0000,0.0000,0.0000
"01 3A - 4 - Departure (Original Mix).mp3",4,5.5333,0.272987,0.0000,0.0000,0.0000
"03 6A - 4 - Tension (Original Mix).mp3",4,3.4000,0.281328,0.0000,0.0000,0.0000
"8A - 4 - Something For Myself (Original.mp3",4,5.4333,0.312578,0.0000,0.0000,0.0000
"01 7A - 4 - Penelope (Original Mix).mp3",4,7.4333,0.350205,0.0000,0.0000,0.0000
"06 11A - 4 - There is a God (Acapella 2).mp3",4,0.8889,0.048957,0.0000,0.0000,0.0000
"05 5A - 4 - 12H.5 (Original Mix).mp3",4,0.2333,0.197011,0.0000,0.0000,0.0000
"01 6A - 4 - Vaporware 01 (Original Mix).mp3",4,1.8333,0.194178,0.0000,0.0000,0.0000
"03 9A - 4 - Fuck You Ft Devin The Dude, Snoop Dogg.mp3",4,4.6333,0.308177,0.0000,0.0000,0.0000
"02 2A - 4 - Parsing (Original Mix).mp3",4,5.3667,0.352957,0.0000,0.0000,0.0000
"03 9A - 4 - Lupus (Original Mix).mp3",4,8.0667,0.361011,0.0000,0.0000,0.0000
"1-01 5A - 4 - He's A Friend.mp3",4,3.7333,0.211179,0.0000,0.0000,0.0000
"07 6A - 4 - Bauer (Original Mix).mp3",4,2.5667,0.340964,0.0000,0.0000,0.0000
"7A - 4 - quasi-calligraphic.mp3",4,4.5000,0.314412,0.0000,0.0000,0.0000
"02 5A - 4 - Loma.mp3",4,7.5667,0.300211,0.0000,0.0000,0.0000
"01 10A - 4 - Terra Rasgada (Santiago Garcia Remix).mp3",4,6.3667,0.335998,0.0000,0.0000,0.0000
"01 8A - 4 - Congo Get Slap (Mark Ernestus Remix).mp3",4,6.1667,0.300349,0.0000,0.0000,0.0000
"01 10A - 4 - Do It (Acapella).mp3",4,2.5333,0.020417,0.0000,0.0000,0.0000
"09 8A - 4 - The Underground (Acapella).mp3",4,2.0333,0.085175,0.0000,0.0000,0.0000
"01 9A - 5 - After Dark (Original Mix).mp3",5,7.3000,0.266176,0.0000,0.0000,0.0000
"02 8A - 5 - Pussy Power (DESIREE Remix).mp3",5,5.5333,0.236771,0.0000,0.0000,0.0000
"01 8A - 5 - The Rapture Pt.III (Original Mix).mp3",5,7.7000,0.129501,0.0000,0.0000,0.0000
"8A - 5 - Muye.mp3",5,8.0333,0.225030,0.0000,0.0000,0.0000
"05 5B - 5 - Cupid.mp3",5,3.2333,0.193286,0.0000,0.0000,0.0000
"12 4A - 5 - Only You (Bad Boy Remix) (Feat. The Notorious B.I.G. & Mase).mp3",5,5.2000,0.225698,0.0000,0.0000,0.0000
"01 8A - 5 - Sour Heart (Original Mix).mp3",5,7.0000,0.285479,0.0000,0.0000,0.0000
"02 4A - 5 - all of me.mp3",5,6.0000,0.374370,0.0000,0.0000,0.0000
"02 2A - 5 - Hail Mary.mp3",5,4.9333,0.260654,0.0000,0.0000,0.0000
"08 6A - 5 - Krazy.mp3",5,4.3667,0.229770,0.0000,0.0000,0.0000
"01 3A - 5 - Tastes Like Freedom (Chaos In The CBD Remix).mp3",5,6.0667,0.185195,0.0000,0.0000,0.0000
"03 11B - 5 - What's Up_.mp3",5,4.1000,0.114091,0.0000,0.0000,0.0000
"02 7A - 5 - Untitled 11 (Original Mix).mp3",5,4.8333,0.334279,0.0000,0.0000,0.0000
"08 2A - 5 - Electric Relaxation.mp3",5,5.0000,0.223080,0.0000,0.0000,0.0000
"03 4A - 5 - Radious.mp3",5,7.4000,0.469585,0.0000,0.0000,0.0000
"1-01 11B - 5 - Highway to Hell.mp3",5,3.4333,0.221063,0.0000,0.0000,0.0000
"30 9A - 5 - Tabu.mp3",5,8.1667,0.413212,0.0000,0.0000,0.0000
"4A - 5 - MUSTANG I.mp3",5,4.3333,0.240922,0.0000,0.0000,0.0000
"01 1A - 5 - Vhuyani (Original Mix).mp3",5,7.1333,0.315998,0.0000,0.0000,0.0000
"01 4A - 5 - Words (Yoruba Soul Mix).mp3",5,6.6667,0.274410,0.0000,0.0000,0.0000
"02 9A - 5 - Rhythm Of Life 2 (Original Mix).mp3",5,6.1333,0.407742,0.0000,0.0000,0.0000
"05 1A - 5 - 16 Cygni (Original Mix).mp3",5,7.9000,0.453337,0.0000,0.0000,0.0000
"1A - 5 - Move (feat. Malachiii) (Original Mix).mp3",5,6.2667,0.266155,0.0000,0.0000,0.0000
"01 11A - 5 - 3 Days Later.mp3",5,5.4667,0.294840,0.0000,0.0000,0.0000
"01 6A - 5 - Spring Girl (Extended).mp3",5,5.2000,0.403483,0.0000,0.0000,0.0000
"01 12A - 5 - Alor (feat. Emma El Shir).mp3",5,5.6000,0.304840,0.0000,0.0000,0.0000
"01 5A - 5 - Line of Conception.mp3",5,6.9000,0.275170,0.0000,0.0000,0.0000
"07 11B - 5 - Crazy.mp3",5,2.7667,0.310926,0.0000,0.0000,0.0000
"3-06 10A - 5 - Planet Rock (and Soulsonic Force).mp3",5,3.7000,0.267724,0.0000,0.0000,0.0000
"01 8A - 5 - My Tribe (Original Mix).mp3",5,5.0333,0.409892,0.0000,0.0000,0.0000
"10 4A - 5 - The Age Of Love (Jam & Spoon W.mp3",5,6.2333,0.136179,0.0000,0.0000,0.0000
"01 10A - 5 - Hikuri Curando (Kareem Raïhani Remix).mp3",5,5.9000,0.273001,0.0000,0.0000,0.0000
"07 5A - 5 - Haiku (Original Mix).mp3",5,3.9333,0.241873,0.0000,0.0000,0.0000
"8A - 5 - Singing (Dixon Dub).mp3",5,5.4333,0.258593,0.0000,0.0000,0.0000
"02 8A - 5 - In Love.mp3",5,4.9667,0.317343,0.0000,0.0000,0.0000
"06 7A - 5 - Let's Stay Together.mp3",5,4.5667,0.084474,0.0000,0.0000,0.0000
"04 12A - 5 - Memories.mp3",5,6.9667,0.224211,0.0000,0.0000,0.0000
"01 8A - 5 - Klakongo (The Deepshakerz Rework).mp3",5,6.6667,0.157213,0.0000,0.0000,0.0000
"1-15 3A - 5 - Would_.mp3",5,3.5000,0.243047,0.0000,0.0000,0.0000
"06 8A - 5 - Nha Manera (Mr. ID Remix - extended).mp3",5,8.1333,0.371986,0.0000,0.0000,0.0000
"12A - 5 - Deeper Feelings (Original Mix).mp3",5,4.8667,0.141546,0.0000,0.0000,0.0000
"8A - 5 - Den R_¥tta feat. Vulkano (Orig.mp3",5,5.1333,0.278156,0.0000,0.0000,0.0000
"12A - 5 - Rej.mp3",5,4.8000,0.284344,0.0000,0.0000,0.0000
"02 6A - 5 - Enoi (Ame Live Remix).mp3",5,4.7000,0.316451,0.0000,0.0000,0.0000
"02 8A - 5 - Mama Africa.mp3",5,3.6333,0.275914,0.0000,0.0000,0.0000
"8B - 5 - Day at Salinas (feat. Troels Hammer).mp3",5,4.5667,0.241887,0.0000,0.0000,0.0000
"7A - 5 - Scream (Original Mix).mp3",5,5.0333,0.401820,0.0000,0.0000,0.0000
"03 5A - 5 - Cognition (Original Mix).mp3",5,3.7000,0.131517,0.0000,0.0000,0.0000
"02 1A - 5 - Transform.mp3",5,6.1667,0.192673,0.0000,0.0000,0.0000
"01 8A - 5 - Ab Intus (Original Mix).mp3",5,6.3667,0.297658,0.0000,0.0000,0.0000
"11A - 5 - Dynamo (Original Mix).mp3",5,5.7333,0.300831,0.0000,0.0000,0.0000
"22 2A - 5 - Two Worlds, One Sun.mp3",5,7.8000,0.232762,0.0000,0.0000,0.0000
"17 8A - 5 - A True Connection.mp3",5,2.4333,0.161844,0.0000,0.0000,0.0000
"07 8A - 5 - It's Not For Money.mp3",5,4.3333,0.188402,0.0000,0.0000,0.0000
"12 6A - 5 - Mental Powers.mp3",5,6.1667,0.298185,0.0000,0.0000,0.0000
"04 3A - 5 - Long Tomorrow (Original Mix).mp3",5,4.9667,0.274658,0.0000,0.0000,0.0000
"02 1A - 5 - Catch You By Surprise (&Me Terrace Dub).mp3",5,6.5333,0.326938,0.0000,0.0000,0.0000
"04 11A - 5 - Mirage (Rework).mp3",5,7.3333,0.329304,0.0000,0.0000,0.0000
"02 7A - 5 - The Radiant City (Original Mix).mp3",5,6.7000,0.306570,0.0000,0.0000,0.0000
